campaign_id,campaign_type,channel,region,impressions,clicks,conversions,revenue_generated,campaign_cost,customer_acquisition_cost,date
CAMP-00001,Affiliate,CJ Affiliate,North America,47515,8293,1765,453638.59,4348.09,2.46,2023-10-09
CAMP-00002,Social Media,Facebook,Middle East & Africa,61770,1954,104,7723.9,5068.47,48.74,2023-03-31
CAMP-00003,Email,Mailchimp,North America,10834,1585,217,37920.62,3620.66,16.69,2023-08-12
CAMP-00004,SEO/Content,Blog,Middle East & Africa,5441,544,18,1757.17,1062.23,59.01,2023-07-23
CAMP-00005,Affiliate,Rakuten,Latin America,23999,950,63,7870.37,1765.8,28.03,2023-08-14
CAMP-00006,Paid Ads,Google Ads,Europe,194167,18794,1402,427646.4,9239.19,6.59,2024-12-15
CAMP-00007,Paid Ads,Meta Ads,Europe,2788,49,1,299.71,4646.51,4646.51,2023-12-11
CAMP-00008,Influencer,Instagram Influencer,Asia Pacific,32428,1230,43,6848.66,23943.92,556.84,2023-12-19
CAMP-00009,Email,HubSpot,Latin America,3368,308,12,1256.12,1079.54,89.96,2024-07-03
CAMP-00010,Influencer,Instagram Influencer,Middle East & Africa,57729,1955,53,6886.71,15608.14,294.49,2023-10-28
CAMP-00011,SEO/Content,Organic Search,Middle East & Africa,16531,874,23,2656.51,2972.01,129.22,2023-07-16
CAMP-00012,Email,HubSpot,Europe,87550,23062,2410,520292.69,3788.67,1.57,2023-10-24
CAMP-00013,Social Media,Facebook,Latin America,88083,523,22,2202.92,4041.61,183.71,2023-10-12
CAMP-00014,Paid Ads,Meta Ads,Asia Pacific,8862,792,94,26647.22,12129.05,129.03,2023-12-30
CAMP-00015,Paid Ads,Google Ads,Middle East & Africa,11637,568,26,3112.81,6629.28,254.97,2024-10-12
CAMP-00016,Affiliate,CJ Affiliate,Europe,97686,9556,1067,222315.59,2224.69,2.08,2024-04-18
CAMP-00017,Affiliate,Rakuten,Middle East & Africa,28837,1861,111,9037.16,1801.91,16.23,2023-08-13
